.AXJO,.FTMIB,SIc1,USFFTARGET=,.HSI,IT10YT=RR,.BVSP,EURIBOR3MD=,USD3MFSR=X,.GSPTSE,.FTSES,US5YT=RR,.GDAXI,JPPRIME=,US2YT=RR,USDISC=,JP10YT=RR,.VIX,.SPX,GBBASE=,GBP=,CAD=,CA10YT=RR,.FCHI,NZD=,AUD=,.STOXX50,EU10YT=RR,US30YT=RR,.IBEX,CHF=,HGc1,.NDX,.IXIC,PLc1,GB10YT=RR,.DJI,FR10YT=RR,JPY=,.FTSE,EUR=,GCc1,TED,.TRXFLDUSP,CLc1,US10YT=RR
4888.7,23545.02,17.44,0.25,21823.28,4.116,70045.08,0.7,0.25438,11866.9,5500.34,2.637,6048.3,1.65,1.076,0.5,1.329,20.04,1132.99,0.5,1.6095,1.0414,3.608,4013.97,0.734,0.9125,2622.54,3.39,4.646,12145.1,1.0297,3.388,1886.7,2308.42,1517.3,3.973,10583.96,3.609,92.55,5500.34,1.4411,1117.7,29,102.31,81.51,3.823
4930.7,23555.73,17.781,0.25,22279.58,4.094,70239.81,0.699,0.2525,11888.08,5522.5,2.565,6031.86,1.65,1.016,0.5,1.338,19.35,1136.52,0.5,1.5995,1.0394,3.564,4012.91,0.7343,0.9117,2616.89,3.369,4.613,12204.4,1.0335,3.396,1888.43,2308.71,1530.8,4.004,10572.02,3.605,91.72,5522.5,1.4368,1118.1,28,102.57,81.77,3.765
4938.5,23622.29,18.163,0.25,22416.67,4.124,70729.34,0.694,0.25,11944.54,5530.04,2.591,6034.33,1.65,1,0.5,1.342,19.16,1137.14,0.5,1.6023,1.0316,3.619,4017.67,0.7379,0.9201,2617.35,3.391,4.696,12222.5,1.0275,3.4775,1878.42,2301.09,1552.2,4.052,10573.68,3.614,92.34,5530.04,1.4412,1135.9,27,102.64,83.18,3.829
4938.1,23709.01,18.333,0.25,22269.45,4.083,70451.12,0.692,0.24938,11887.51,5526.72,2.613,6019.36,1.65,1.028,0.5,1.352,19.06,1141.69,0.5,1.5933,1.0345,3.636,4024.8,0.7318,0.9164,2617.88,3.371,4.686,12166.3,1.0334,3.4115,1876.72,2300.05,1553,4.059,10606.86,3.578,93.31,5526.72,1.4318,1133.1,25,102.99,82.66,3.827
4937.9,23811.13,18.458,0.25,22296.75,4.075,70262.7,0.691,0.25125,11953.83,5534.24,2.591,6037.61,1.65,0.976,0.5,1.369,18.13,1144.98,0.5,1.6027,1.03,3.6,4045.14,0.7366,0.9245,2629.34,3.379,4.717,12163,1.0233,3.388,1892.59,2317.17,1564.6,4.069,10618.19,3.58,92.61,5534.24,1.4412,1138.2,25,103.36,82.75,3.836
4955.1,23774.76,18.683,0.25,22411.52,4.05,70433.48,0.689,0.25125,11947.13,5538.07,2.557,6040.5,1.65,0.94,0.5,1.352,17.55,1146.98,0.5,1.6102,1.0333,3.612,4043.09,0.7428,0.9315,2623.85,3.345,4.728,12074.5,1.0162,3.4285,1886.24,2312.41,1588.3,3.981,10663.99,3.547,92.08,5538.07,1.4513,1150.7,24,103.47,82.52,3.82
4940,23583.35,18.243,0.25,22326.64,4.054,70075.77,0.685,0.25125,11820.18,5498.71,2.478,5943,1.65,0.907,0.5,1.345,18.25,1136.22,0.5,1.6173,1.0393,3.556,4000.05,0.7387,0.9203,2603.58,3.314,4.623,11966.1,1.0175,3.3375,1861.79,2282.31,1573.9,3.937,10627.26,3.529,90.95,5498.71,1.4494,1128.9,26,102.48,80.79,3.717
4887,23658.4,18.538,0.25,21748.6,4.089,70385.47,0.684,0.25125,11853.56,5473.48,2.541,5963.14,1.65,0.964,0.5,1.338,17.85,1145.68,0.5,1.6285,1.0307,3.61,4000.86,0.7398,0.9241,2602.17,3.303,4.716,11958.3,1.0179,3.3875,1886.13,2307.9,1570.2,3.966,10680.77,3.534,91.4,5473.48,1.451,1136.4,25,103.44,79.65,3.793
4920.5,23805.99,18.643,0.25,21716.95,4.1,69801.41,0.682,0.25125,11804.38,5498.2,2.493,5988.88,1.65,0.923,0.5,1.33,17.63,1148.46,0.5,1.6332,1.0232,3.554,4015.77,0.7423,0.9319,2620.44,3.295,4.633,11999.8,1.018,3.376,1886.52,2316.74,1600.1,3.981,10710.55,3.54,91.14,5498.2,1.4502,1142.6,23,103.66,79.39,3.742
4905.4,23472.11,18.411,0.25,21654.16,4.07,68978.3,0.68,0.25125,11685.37,5455.37,2.419,5875.97,1.65,0.87,0.5,1.318,17.91,1136.03,0.5,1.6262,1.0287,3.491,3954.38,0.738,0.9231,2589.86,3.258,4.581,11845,1.0263,3.355,1864.52,2287.99,1591.4,3.937,10609.65,3.502,90.78,5455.37,1.4382,1130.1,24,102.55,78,3.676
